bench,conn,count,bytes,world,iters,min_us,median_us,p99_us,max_us,busbw_gbps
allreduce,tcp_untuned,1572864,6291456,2,200,4082.87,4464.72,7933.49,18409.89,11.273
allreduce,tcp_untuned,2097152,8388608,2,200,10083.64,10361.57,19142.98,24479.82,6.477
allreduce,tcp_untuned,3145728,12582912,2,200,7966.72,8720.74,11920.83,11932.92,11.543
allreduce,tcp_untuned,4194304,16777216,2,200,12070.54,13708.12,14703.94,15470.42,9.791
allreduce,rdma,16384,65536,2,200,16.90,17.34,17.66,21.14,30.241
allreduce,rdma,65536,262144,2,200,47.93,49.20,69.39,69.54,42.621
allreduce,rdma,262144,1048576,2,200,161.05,167.28,189.87,190.71,50.147
allreduce,rdma,1048576,4194304,2,200,608.03,615.36,659.92,662.30,54.528
allreduce,rdma,1572864,6291456,2,200,1016.47,1031.37,1123.40,1148.94,48.801
allreduce,rdma,2097152,8388608,2,200,1733.72,1769.87,2304.54,3902.78,37.917
allreduce,rdma,3145728,12582912,2,200,3153.10,3197.16,5044.72,5065.54,31.485
allreduce,rdma,4194304,16777216,2,200,4256.96,4479.28,6193.43,6200.64,29.964
allreduce,tcp,16384,65536,2,200,79.81,85.04,91.73,94.27,6.165
allreduce,tcp,65536,262144,2,200,195.25,201.82,222.03,225.64,10.391
allreduce,tcp,262144,1048576,2,200,554.59,559.56,570.25,570.33,14.991
allreduce,tcp,1048576,4194304,2,200,3649.14,3759.31,3888.30,3916.31,8.926
allreduce,tcp,1572864,6291456,2,200,4812.25,4963.22,5139.58,5157.38,10.141
allreduce,tcp,2097152,8388608,2,200,5439.01,5586.81,5959.97,6050.68,12.012
allreduce,tcp,3145728,12582912,2,200,11345.17,12148.24,24388.69,24806.02,8.286
allreduce,tcp,4194304,16777216,2,200,14737.83,15227.92,17804.38,18172.63,8.814
allreduce,tcp_untuned,16384,65536,2,200,94.40,101.82,118.47,134.82,5.149
allreduce,tcp_untuned,65536,262144,2,200,202.60,246.58,328.25,348.80,8.505
allreduce,tcp_untuned,262144,1048576,2,200,580.05,600.46,686.71,698.20,13.970
allreduce,tcp_untuned,1048576,4194304,2,200,2979.76,3092.92,3525.79,8544.31,10.849
allreduce,tcp_untuned,1572864,6291456,2,200,4111.80,4263.82,5250.09,12738.38,11.804
allreduce,tcp_untuned,2097152,8388608,2,200,5496.12,5852.29,9244.51,11532.46,11.467
allreduce,tcp_untuned,3145728,12582912,2,200,8023.12,8807.82,10995.43,12886.62,11.429
allreduce,tcp_untuned,4194304,16777216,2,200,10378.35,10945.22,12215.20,12950.09,12.263
allreduce,rdma,16384,65536,2,200,17.84,18.76,21.51,1493.92,27.947
allreduce,rdma,65536,262144,2,200,48.08,57.77,73.79,75.29,36.303
allreduce,rdma,262144,1048576,2,200,174.54,179.38,194.13,194.53,46.764
allreduce,rdma,1048576,4194304,2,200,610.45,619.89,694.42,697.89,54.130
allreduce,rdma,1572864,6291456,2,200,1028.79,1041.57,1110.29,3112.39,48.323
allreduce,rdma,2097152,8388608,2,200,1741.56,1803.35,3801.52,3845.06,37.214
allreduce,rdma,3145728,12582912,2,200,3097.92,3199.35,3487.83,5064.90,31.464
allreduce,rdma,4194304,16777216,2,200,4413.86,4476.61,6201.01,6206.53,29.982
allreduce,tcp,16384,65536,2,200,73.75,78.33,88.11,100.02,6.693
allreduce,tcp,65536,262144,2,200,220.31,231.57,265.35,271.77,9.056
allreduce,tcp,262144,1048576,2,200,760.96,811.82,834.11,839.05,10.333
allreduce,tcp,1048576,4194304,2,200,2444.30,2527.95,2597.15,2628.98,13.273
allreduce,tcp,1572864,6291456,2,200,4196.28,4390.81,4707.35,4714.41,11.463
allreduce,tcp,2097152,8388608,2,200,5368.38,5567.46,6017.72,8176.52,12.054
allreduce,tcp,3145728,12582912,2,200,9419.71,9710.45,10092.31,10708.16,10.366
allreduce,tcp,4194304,16777216,2,200,11487.37,11673.55,12718.69,12827.51,11.498
allreduce,tcp_untuned,16384,65536,2,200,81.47,86.06,99.63,99.76,6.092
allreduce,tcp_untuned,65536,262144,2,200,218.87,226.36,303.10,307.67,9.265
allreduce,tcp_untuned,262144,1048576,2,200,887.10,967.71,1030.32,1076.24,8.669
allreduce,tcp_untuned,1048576,4194304,2,200,2441.93,2520.43,2761.88,3122.54,13.313
allreduce,tcp_untuned,1572864,6291456,2,200,4067.71,4357.38,5201.32,5283.98,11.551
allreduce,tcp_untuned,2097152,8388608,2,200,5412.18,6143.38,6639.84,8198.54,10.924
allreduce,tcp_untuned,3145728,12582912,2,200,10372.14,11040.31,11949.28,13028.78,9.118
allreduce,tcp_untuned,4194304,16777216,2,200,10336.97,11017.79,12639.79,13696.88,12.182
