bench,conn,count,bytes,world,iters,min_us,median_us,p99_us,max_us,busbw_gbps
allreduce,tcp_untuned,4194304,16777216,2,200,10403.74,11188.40,12288.41,26769.51,11.996
allreduce,rdma,16384,65536,2,200,16.79,17.31,30.26,31.91,30.292
allreduce,rdma,65536,262144,2,200,48.12,49.02,67.93,70.30,42.780
allreduce,rdma,262144,1048576,2,200,158.67,170.57,193.06,1986.91,49.179
allreduce,rdma,1048576,4194304,2,200,610.24,615.97,769.62,771.51,54.474
allreduce,rdma,1572864,6291456,2,200,1030.14,1047.18,3122.43,3142.48,48.064
allreduce,rdma,2097152,8388608,2,200,1736.69,1779.68,2761.61,3745.22,37.708
allreduce,rdma,3145728,12582912,2,200,3163.96,3205.57,5191.49,5197.43,31.403
allreduce,rdma,4194304,16777216,2,200,4434.72,4483.57,6172.11,6174.06,29.935
allreduce,tcp,16384,65536,2,200,74.96,81.04,91.83,94.18,6.469
allreduce,tcp,65536,262144,2,200,193.30,198.54,210.11,215.74,10.563
allreduce,tcp,262144,1048576,2,200,545.27,553.31,569.05,569.07,15.161
allreduce,tcp,1048576,4194304,2,200,2806.45,2877.30,3550.49,3590.67,11.662
allreduce,tcp,1572864,6291456,2,200,4658.57,4720.85,4819.07,5118.26,10.662
allreduce,tcp,2097152,8388608,2,200,5386.98,5616.21,5847.97,6870.28,11.949
allreduce,tcp,3145728,12582912,2,200,11067.42,11457.80,12130.66,14304.57,8.786
allreduce,tcp,4194304,16777216,2,200,10255.98,10410.88,12762.25,12771.73,12.892
allreduce,tcp_untuned,16384,65536,2,200,94.58,101.74,113.72,115.71,5.153
allreduce,tcp_untuned,65536,262144,2,200,226.78,280.58,328.37,329.18,7.474
allreduce,tcp_untuned,262144,1048576,2,200,722.93,823.90,887.13,1351.71,10.182
allreduce,tcp_untuned,1048576,4194304,2,200,3314.31,3458.70,3662.31,3839.86,9.701
allreduce,tcp_untuned,1572864,6291456,2,200,6185.44,6631.49,6995.27,7017.90,7.590
allreduce,tcp_untuned,2097152,8388608,2,200,6999.10,7431.77,8002.63,8579.54,9.030
allreduce,tcp_untuned,3145728,12582912,2,200,10435.07,10839.55,22155.78,23248.82,9.287
allreduce,tcp_untuned,4194304,16777216,2,200,14170.49,14692.30,16965.90,17326.54,9.135
allreduce,rdma,16384,65536,2,200,16.85,17.24,17.78,21.30,30.413
allreduce,rdma,65536,262144,2,200,48.28,48.99,62.51,73.50,42.809
allreduce,rdma,262144,1048576,2,200,173.43,179.73,198.26,1930.91,46.673
allreduce,rdma,1048576,4194304,2,200,608.46,618.58,680.01,707.57,54.245
allreduce,rdma,1572864,6291456,2,200,1023.31,1040.09,1451.75,3126.15,48.392
allreduce,rdma,2097152,8388608,2,200,1731.73,1817.42,2267.43,3741.98,36.925
allreduce,rdma,3145728,12582912,2,200,3125.95,3201.95,3289.60,3306.34,31.438
allreduce,rdma,4194304,16777216,2,200,4436.61,4479.09,6206.87,6214.26,29.965
allreduce,tcp,16384,65536,2,200,70.26,75.77,83.44,92.21,6.920
allreduce,tcp,65536,262144,2,200,214.21,218.88,229.17,232.09,9.581
allreduce,tcp,262144,1048576,2,200,536.22,545.71,560.42,563.77,15.372
allreduce,tcp,1048576,4194304,2,200,2502.67,2614.22,2678.51,2689.44,12.835
allreduce,tcp,1572864,6291456,2,200,4080.00,4229.96,4979.95,5662.63,11.899
allreduce,tcp,2097152,8388608,2,200,7805.88,8069.36,8612.59,8645.19,8.316
allreduce,tcp,3145728,12582912,2,200,9539.55,9647.89,10004.77,10320.29,10.434
allreduce,tcp,4194304,16777216,2,200,14542.58,14716.32,15038.17,15064.34,9.120
allreduce,tcp_untuned,16384,65536,2,200,81.40,88.80,114.54,191.02,5.904
allreduce,tcp_untuned,65536,262144,2,200,190.73,198.24,286.24,295.14,10.579
allreduce,tcp_untuned,262144,1048576,2,200,545.69,639.77,790.85,800.55,13.112
allreduce,tcp_untuned,1048576,4194304,2,200,2592.50,2666.11,2945.68,2965.04,12.586
allreduce,tcp_untuned,1572864,6291456,2,200,5345.53,5680.95,6204.77,14815.35,8.860
allreduce,tcp_untuned,2097152,8388608,2,200,6175.10,6691.53,7307.95,7770.52,10.029
allreduce,tcp_untuned,3145728,12582912,2,200,9510.79,10407.12,11126.44,14507.91,9.673
allreduce,tcp_untuned,4194304,16777216,2,200,10334.79,11704.41,14486.42,15288.76,11.467
allreduce,rdma,16384,65536,2,200,16.83,17.22,21.27,32.77,30.443
allreduce,rdma,65536,262144,2,200,48.24,49.06,61.54,62.30,42.748
allreduce,rdma,262144,1048576,2,200,158.01,164.34,191.38,194.93,51.046
allreduce,rdma,1048576,4194304,2,200,609.76,617.67,647.80,656.36,54.324
allreduce,rdma,1572864,6291456,2,200,1031.72,1044.14,1537.96,3113.62,48.204
allreduce,rdma,2097152,8388608,2,200,1727.70,1755.70,2026.66,3754.21,38.223
allreduce,rdma,3145728,12582912,2,200,3068.81,3185.16,5035.89,5039.91,31.604
allreduce,rdma,4194304,16777216,2,200,4430.71,4474.31,6199.10,6200.65,29.997
allreduce,tcp,16384,65536,2,200,80.93,87.92,102.27,104.11,5.963
