bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps
write,rdma,4096,1,2000,2.18,2.24,2.31,9.72,14.374
read,rdma,4096,1,2000,2.47,2.53,2.68,6.69,12.756
write,rdma,4096,4,2000,0.91,0.94,0.96,12.19,33.292
read,rdma,4096,4,2000,1.12,1.14,1.16,1.17,28.464
write,rdma,4096,16,2000,0.55,0.56,0.70,1.43,58.635
read,rdma,4096,16,2000,0.76,0.76,0.78,1.49,42.636
write,rdma,16384,1,2000,3.08,3.13,3.65,5.94,41.048
read,rdma,16384,1,2000,4.32,4.40,4.53,20.68,29.497
write,rdma,16384,4,2000,2.08,2.10,2.33,2.99,60.949
read,rdma,16384,4,2000,2.95,2.98,3.11,3.13,43.612
write,rdma,16384,16,2000,1.69,1.70,1.71,2.31,77.474
read,rdma,16384,16,2000,2.60,2.60,2.64,3.04,50.392
write,rdma,65536,1,2000,8.54,8.69,9.31,23.73,59.089
read,rdma,65536,1,2000,11.98,12.09,12.72,26.34,42.722
write,rdma,65536,4,2000,6.41,6.43,6.81,7.03,80.620
read,rdma,65536,4,2000,10.38,10.50,10.55,10.57,49.898
write,rdma,65536,16,2000,5.86,5.86,5.96,6.88,89.438
read,rdma,65536,16,2000,9.98,10.01,10.54,10.57,52.625
write,rdma,262144,1,2000,26.60,26.73,27.17,34.89,78.223
read,rdma,262144,1,2000,41.50,41.57,42.10,42.20,50.332
write,rdma,262144,4,2000,23.66,23.68,23.81,24.39,88.424
read,rdma,262144,4,2000,39.87,39.98,40.04,40.05,52.443
write,rdma,262144,16,2000,22.91,22.92,23.50,23.71,91.963
read,rdma,262144,16,2000,39.47,39.49,39.52,40.05,53.414
write,rdma,1048576,1,500,94.63,94.97,102.34,110.18,88.120
read,rdma,1048576,1,500,159.49,159.85,161.97,171.83,52.399
write,rdma,1048576,4,500,91.61,91.63,92.01,95.70,91.454
read,rdma,1048576,4,500,157.80,157.91,157.97,157.98,53.119
write,rdma,1048576,16,500,90.86,90.86,91.12,91.12,94.571
read,rdma,1048576,16,500,157.41,157.43,157.62,157.62,54.593
write,rdma,4194304,1,500,366.36,366.84,367.45,371.07,91.424
read,rdma,4194304,1,500,632.44,632.96,644.85,658.19,52.980
write,rdma,4194304,4,500,363.39,363.44,363.58,364.51,92.314
read,rdma,4194304,4,500,630.80,630.88,631.90,633.91,53.183
write,rdma,4194304,16,500,362.67,362.68,363.74,363.74,94.776
read,rdma,4194304,16,500,630.33,630.35,636.20,636.20,54.515
write,rdma,4096,1,2000,2.03,2.09,2.14,4.38,15.481
read,rdma,4096,1,2000,2.36,2.40,2.54,5.14,13.456
write,rdma,4096,4,2000,0.89,0.90,0.91,1.21,36.242
read,rdma,4096,4,2000,1.11,1.12,1.17,2.60,28.673
write,rdma,4096,16,2000,0.51,0.51,0.55,0.90,63.562
read,rdma,4096,16,2000,0.76,0.76,0.77,1.16,43.094
write,rdma,16384,1,2000,3.10,3.14,3.66,5.42,40.910
read,rdma,16384,1,2000,4.33,4.38,4.54,22.31,29.535
write,rdma,16384,4,2000,2.08,2.10,2.33,3.51,60.999
read,rdma,16384,4,2000,2.94,2.97,3.10,3.13,43.661
write,rdma,16384,16,2000,1.69,1.70,1.71,2.10,77.450
read,rdma,16384,16,2000,2.59,2.60,3.28,4.29,50.086
write,rdma,65536,1,2000,8.60,8.69,9.31,10.54,59.170
read,rdma,65536,1,2000,11.97,12.09,12.72,37.62,42.717
write,rdma,65536,4,2000,6.41,6.42,6.81,6.82,80.665
read,rdma,65536,4,2000,10.39,10.50,10.56,14.12,49.843
write,rdma,65536,16,2000,5.86,5.86,5.96,6.82,89.558
read,rdma,65536,16,2000,9.99,10.01,10.03,10.55,52.662
write,rdma,262144,1,2000,26.69,26.83,27.42,61.30,77.860
read,rdma,262144,1,2000,41.51,41.62,42.36,54.04,50.253
write,rdma,262144,4,2000,23.66,23.68,23.81,26.69,88.399
read,rdma,262144,4,2000,39.91,40.01,40.08,40.12,52.394
write,rdma,262144,16,2000,22.91,22.91,22.95,23.79,92.010
read,rdma,262144,16,2000,39.47,39.49,39.52,40.06,53.415
write,rdma,1048576,1,500,94.63,94.69,95.26,104.66,88.423
read,rdma,1048576,1,500,159.43,159.60,160.43,172.92,52.494
write,rdma,1048576,4,500,91.61,91.63,91.77,92.19,91.482
read,rdma,1048576,4,500,157.80,157.94,158.02,158.06,53.108
write,rdma,1048576,16,500,90.86,90.86,91.18,91.18,94.572
read,rdma,1048576,16,500,157.38,157.41,157.59,157.59,54.599
write,rdma,4194304,1,500,366.32,366.94,367.49,375.30,91.413
read,rdma,4194304,1,500,632.49,632.97,633.51,644.79,53.003
write,rdma,4194304,4,500,363.41,363.44,363.61,363.91,92.313
read,rdma,4194304,4,500,630.78,630.86,632.55,633.17,53.184
write,rdma,4194304,16,500,362.67,362.72,363.33,363.33,94.766
read,rdma,4194304,16,500,630.34,630.35,632.63,632.63,54.533
write,rdma,4096,1,2000,2.03,2.09,2.14,7.45,15.448
read,rdma,4096,1,2000,2.33,2.40,2.55,4.93,13.445
write,rdma,4096,4,2000,0.89,0.90,0.91,14.57,35.150
read,rdma,4096,4,2000,1.11,1.13,1.17,1.17,28.796
write,rdma,4096,16,2000,0.51,0.51,0.62,1.00,63.002
read,rdma,4096,16,2000,0.75,0.75,0.78,1.23,43.353
write,rdma,16384,1,2000,3.10,3.15,3.66,10.31,40.870
read,rdma,16384,1,2000,4.31,4.40,4.53,6.01,29.597
write,rdma,16384,4,2000,2.08,2.10,2.32,2.96,61.018
read,rdma,16384,4,2000,2.92,2.98,3.13,3.29,43.577
write,rdma,16384,16,2000,1.69,1.70,1.71,2.10,77.496
read,rdma,16384,16,2000,2.59,2.60,2.64,2.98,50.600
write,rdma,65536,1,2000,8.55,8.72,9.57,70.97,58.613
read,rdma,65536,1,2000,11.97,12.07,12.73,19.81,42.790
write,rdma,65536,4,2000,6.41,6.43,6.81,10.97,80.504
read,rdma,65536,4,2000,10.38,10.49,10.57,10.77,49.889
write,rdma,65536,16,2000,5.86,5.86,5.96,6.42,89.576
read,rdma,65536,16,2000,9.99,10.01,10.03,10.57,52.650
write,rdma,262144,1,2000,26.66,26.73,27.18,44.04,78.191
read,rdma,262144,1,2000,41.52,41.59,42.11,42.17,50.316
write,rdma,262144,4,2000,23.66,23.68,23.81,25.11,88.416
read,rdma,262144,4,2000,39.87,39.98,40.14,40.49,52.436
write,rdma,262144,16,2000,22.91,22.91,22.95,23.68,92.005
read,rdma,262144,16,2000,39.46,39.49,39.52,40.03,53.417
write,rdma,1048576,1,500,94.49,94.69,95.21,98.57,88.439
read,rdma,1048576,1,500,159.44,159.52,160.16,160.26,52.526
write,rdma,1048576,4,500,91.58,91.63,91.81,92.13,91.486
read,rdma,1048576,4,500,157.80,157.91,157.99,158.01,53.119
write,rdma,1048576,16,500,90.86,90.86,91.12,91.12,94.571
read,rdma,1048576,16,500,157.40,157.42,157.61,157.61,54.595
write,rdma,4194304,1,500,366.32,366.55,367.13,369.23,91.485
read,rdma,4194304,1,500,632.42,633.00,633.43,644.96,53.000
write,rdma,4194304,4,500,363.41,363.44,363.95,364.29,92.313
read,rdma,4194304,4,500,630.80,630.90,633.93,634.16,53.174
write,rdma,4194304,16,500,362.67,362.73,363.23,363.23,94.767
read,rdma,4194304,16,500,630.34,630.35,632.17,632.17,54.528
write,rdma,4096,1,2000,2.02,2.08,2.14,4.80,15.510
read,rdma,4096,1,2000,2.36,2.40,2.56,5.05,13.439
write,rdma,4096,4,2000,0.89,0.90,0.91,1.69,36.129
read,rdma,4096,4,2000,1.11,1.13,1.17,1.17,28.728
write,rdma,4096,16,2000,0.51,0.51,0.56,0.90,63.199
read,rdma,4096,16,2000,0.76,0.76,0.76,1.16,43.099
write,rdma,16384,1,2000,3.08,3.13,3.64,6.36,41.071
read,rdma,16384,1,2000,4.33,4.39,4.54,19.18,29.566
write,rdma,16384,4,2000,2.08,2.10,2.33,2.76,60.912
read,rdma,16384,4,2000,2.94,2.97,3.10,3.38,43.677
write,rdma,16384,16,2000,1.69,1.69,1.72,2.08,77.486
read,rdma,16384,16,2000,2.59,2.60,2.64,3.01,50.517
write,rdma,65536,1,2000,8.61,8.69,9.31,56.20,58.984
read,rdma,65536,1,2000,11.98,12.07,12.77,13.40,42.816
write,rdma,65536,4,2000,6.41,6.43,6.82,7.15,80.616
read,rdma,65536,4,2000,10.38,10.50,10.55,10.56,49.896
write,rdma,65536,16,2000,5.86,5.86,5.96,6.94,89.458
read,rdma,65536,16,2000,9.98,10.01,10.04,10.51,52.661
write,rdma,262144,1,2000,26.65,26.73,27.18,35.74,78.203
read,rdma,262144,1,2000,41.53,41.64,42.42,43.30,50.211
write,rdma,262144,4,2000,23.66,23.67,23.81,26.53,88.419
read,rdma,262144,4,2000,39.87,39.98,40.04,40.05,52.437
write,rdma,262144,16,2000,22.91,22.91,22.95,23.67,92.006
read,rdma,262144,16,2000,39.47,39.49,39.52,40.00,53.417
write,rdma,1048576,1,500,94.63,94.75,95.56,109.08,88.305
read,rdma,1048576,1,500,159.49,159.66,160.46,173.11,52.445
write,rdma,1048576,4,500,91.61,91.64,91.77,92.26,91.481
read,rdma,1048576,4,500,157.79,157.91,157.96,157.98,53.120
write,rdma,1048576,16,500,90.86,90.86,91.12,91.12,94.570
read,rdma,1048576,16,500,157.38,157.41,157.58,157.58,54.600
write,rdma,4194304,1,500,366.40,367.00,372.64,378.69,91.366
read,rdma,4194304,1,500,632.49,633.00,644.91,657.04,52.983
write,rdma,4194304,4,500,363.43,363.53,365.68,365.71,92.283
read,rdma,4194304,4,500,630.77,630.87,634.23,636.97,53.173
write,rdma,4194304,16,500,362.68,362.70,363.38,363.38,94.778
read,rdma,4194304,16,500,630.31,630.35,631.68,631.68,54.528
write,rdma,4096,1,2000,2.04,2.10,2.27,6.86,15.355
read,rdma,4096,1,2000,2.35,2.40,2.63,4.74,13.398
write,rdma,4096,4,2000,0.89,0.90,0.91,1.29,36.195
read,rdma,4096,4,2000,1.11,1.13,1.17,2.27,28.670
write,rdma,4096,16,2000,0.51,0.51,0.53,0.90,63.537
read,rdma,4096,16,2000,0.76,0.76,0.77,1.18,42.917
write,rdma,16384,1,2000,3.09,3.13,3.65,5.85,41.005
read,rdma,16384,1,2000,4.35,4.40,4.46,5.82,29.559
write,rdma,16384,4,2000,2.08,2.10,2.33,3.46,60.883
read,rdma,16384,4,2000,2.94,3.00,3.14,3.53,43.337
write,rdma,16384,16,2000,1.69,1.70,1.77,2.10,77.488
read,rdma,16384,16,2000,2.60,2.60,2.65,3.13,50.408
write,rdma,65536,1,2000,8.55,8.68,9.31,10.35,59.155
read,rdma,65536,1,2000,11.95,12.06,12.71,55.06,42.753
write,rdma,65536,4,2000,6.41,6.43,6.81,6.88,80.607
read,rdma,65536,4,2000,10.38,10.49,10.55,16.80,49.842
write,rdma,65536,16,2000,5.86,5.86,5.96,6.83,89.552
read,rdma,65536,16,2000,9.99,10.01,10.03,10.51,52.657
write,rdma,262144,1,2000,26.66,26.73,27.17,53.30,78.196
read,rdma,262144,1,2000,41.51,41.69,42.58,42.99,50.171
write,rdma,262144,4,2000,23.66,23.69,23.91,29.53,88.317
read,rdma,262144,4,2000,39.88,40.01,40.09,40.12,52.403
write,rdma,262144,16,2000,22.91,22.91,22.97,23.89,92.000
read,rdma,262144,16,2000,39.47,39.50,40.14,40.25,53.382
write,rdma,1048576,1,500,94.59,94.69,95.24,116.71,88.404
read,rdma,1048576,1,500,159.45,159.53,160.13,160.17,52.524
write,rdma,1048576,4,500,91.61,91.64,93.07,93.40,91.458
read,rdma,1048576,4,500,157.84,157.93,159.49,160.40,53.098
write,rdma,1048576,16,500,90.86,90.87,91.17,91.17,94.569
read,rdma,1048576,16,500,157.39,157.42,157.58,157.58,54.597
write,rdma,4194304,1,500,366.32,366.96,367.88,378.71,91.420
read,rdma,4194304,1,500,632.61,632.98,645.27,658.45,52.965
write,rdma,4194304,4,500,363.39,363.52,364.25,364.62,92.297
read,rdma,4194304,4,500,630.80,630.88,633.74,633.89,53.182
write,rdma,4194304,16,500,362.69,362.70,363.46,363.46,94.774
read,rdma,4194304,16,500,630.33,630.35,639.42,639.42,54.493
write,rdma,4096,1,2000,2.03,2.10,2.15,5.85,15.410
read,rdma,4096,1,2000,2.34,2.40,2.55,3.47,13.468
write,rdma,4096,4,2000,0.89,0.90,0.91,1.22,36.218
read,rdma,4096,4,2000,1.11,1.13,1.17,1.48,28.771
write,rdma,4096,16,2000,0.51,0.51,0.58,0.90,63.535
read,rdma,4096,16,2000,0.76,0.76,0.77,1.18,43.074
write,rdma,16384,1,2000,3.08,3.13,3.65,7.67,41.066
read,rdma,16384,1,2000,4.32,4.40,4.54,23.52,29.517
write,rdma,16384,4,2000,2.08,2.10,2.33,3.23,60.895
read,rdma,16384,4,2000,2.94,2.98,3.12,9.73,43.392
write,rdma,16384,16,2000,1.69,1.70,1.71,2.11,77.497
read,rdma,16384,16,2000,2.59,2.60,2.64,3.00,50.576
write,rdma,65536,1,2000,8.54,8.69,9.32,10.63,59.125
read,rdma,65536,1,2000,11.96,12.06,12.75,24.88,42.797
write,rdma,65536,4,2000,6.41,6.43,6.81,9.98,80.544
read,rdma,65536,4,2000,10.39,10.50,10.56,10.56,49.887
write,rdma,65536,16,2000,5.86,5.86,5.96,6.42,89.593
read,rdma,65536,16,2000,9.98,10.01,10.03,10.51,52.680
write,rdma,262144,1,2000,26.64,26.73,27.38,34.63,78.105
read,rdma,262144,1,2000,41.55,41.70,42.49,52.26,50.123
write,rdma,262144,4,2000,23.66,23.68,23.81,24.16,88.428
read,rdma,262144,4,2000,39.88,39.98,40.04,40.04,52.437
write,rdma,262144,16,2000,22.91,22.91,23.46,23.68,91.961
read,rdma,262144,16,2000,39.46,39.49,39.50,40.03,53.427
write,rdma,1048576,1,500,94.63,94.69,95.27,102.94,88.421
read,rdma,1048576,1,500,159.43,159.68,160.53,166.41,52.481
write,rdma,1048576,4,500,91.61,91.63,91.76,92.10,91.487
read,rdma,1048576,4,500,157.80,157.90,157.98,157.98,53.122
write,rdma,1048576,16,500,90.86,90.86,91.12,91.12,94.567
read,rdma,1048576,16,500,157.39,157.41,157.60,157.60,54.597
write,rdma,4194304,1,500,366.34,366.94,367.56,379.07,91.437
read,rdma,4194304,1,500,632.49,632.91,643.78,656.45,52.991
write,rdma,4194304,4,500,363.41,363.45,364.70,365.41,92.305
read,rdma,4194304,4,500,630.80,630.88,632.86,633.76,53.181
write,rdma,4194304,16,500,362.66,362.70,362.93,362.93,94.787
read,rdma,4194304,16,500,630.32,630.35,630.52,630.52,54.540
write,rdma,4096,1,2000,2.01,2.08,2.13,6.02,15.501
read,rdma,4096,1,2000,2.36,2.40,2.55,5.10,13.438
write,rdma,4096,4,2000,0.89,0.90,0.91,1.21,36.268
read,rdma,4096,4,2000,1.11,1.13,1.17,1.80,28.698
write,rdma,4096,16,2000,0.51,0.51,0.55,0.91,63.361
read,rdma,4096,16,2000,0.75,0.76,0.77,1.15,43.115
write,rdma,16384,1,2000,3.09,3.15,3.66,7.68,40.864
read,rdma,16384,1,2000,4.32,4.38,4.55,18.83,29.620
write,rdma,16384,4,2000,2.08,2.10,2.33,2.97,60.962
read,rdma,16384,4,2000,2.94,2.97,3.09,3.11,43.701
write,rdma,16384,16,2000,1.69,1.70,1.71,2.10,77.473
read,rdma,16384,16,2000,2.59,2.60,2.64,3.40,50.372
write,rdma,65536,1,2000,8.59,8.69,9.32,10.72,59.125
read,rdma,65536,1,2000,11.98,12.08,12.71,21.24,42.754
write,rdma,65536,4,2000,6.41,6.42,6.81,7.19,80.651
read,rdma,65536,4,2000,10.38,10.50,10.55,10.80,49.887
write,rdma,65536,16,2000,5.86,5.86,6.03,6.55,89.473
read,rdma,65536,16,2000,9.99,10.01,10.04,10.57,52.628
write,rdma,262144,1,2000,26.65,26.73,27.18,43.22,78.187
read,rdma,262144,1,2000,41.53,41.72,42.55,52.04,50.119
write,rdma,262144,4,2000,23.66,23.72,23.87,24.14,88.315
read,rdma,262144,4,2000,39.87,39.98,40.03,40.05,52.440
write,rdma,262144,16,2000,22.91,22.91,22.95,23.78,92.011
read,rdma,262144,16,2000,39.46,39.49,39.52,40.00,53.422
write,rdma,1048576,1,500,94.61,94.70,95.24,96.72,88.429
read,rdma,1048576,1,500,159.43,159.62,160.51,170.86,52.490
write,rdma,1048576,4,500,91.62,91.69,91.83,92.48,91.455
read,rdma,1048576,4,500,157.81,157.93,158.01,158.01,53.113
write,rdma,1048576,16,500,90.86,90.86,91.12,91.12,94.565
read,rdma,1048576,16,500,157.38,157.40,157.59,157.59,54.601
write,rdma,4194304,1,500,366.34,366.94,367.79,374.22,91.436
read,rdma,4194304,1,500,632.48,632.91,634.40,644.64,53.002
write,rdma,4194304,4,500,363.43,363.49,364.11,364.15,92.300
read,rdma,4194304,4,500,630.77,630.87,630.95,630.96,53.186
write,rdma,4194304,16,500,362.68,362.71,363.10,363.10,94.779
read,rdma,4194304,16,500,630.34,630.35,631.17,631.17,54.533
write,rdma,4096,1,2000,2.02,2.08,2.13,6.45,15.535
read,rdma,4096,1,2000,2.34,2.40,2.54,4.04,13.459
write,rdma,4096,4,2000,0.89,0.90,0.91,2.09,36.125
read,rdma,4096,4,2000,1.11,1.13,1.16,1.17,28.839
write,rdma,4096,16,2000,0.51,0.51,0.59,0.90,63.483
read,rdma,4096,16,2000,0.76,0.76,0.77,1.19,43.093
write,rdma,16384,1,2000,3.07,3.13,3.65,6.61,41.099
read,rdma,16384,1,2000,4.32,4.41,4.55,5.49,29.512
write,rdma,16384,4,2000,2.08,2.10,2.33,3.31,60.940
read,rdma,16384,4,2000,2.95,2.98,3.12,3.12,43.617
write,rdma,16384,16,2000,1.69,1.70,1.71,2.11,77.486
read,rdma,16384,16,2000,2.60,2.60,2.64,3.04,50.403
write,rdma,65536,1,2000,8.58,8.68,9.31,25.55,59.086
