bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps
read,rdma,65536,1,2000,11.96,12.07,12.72,15.06,42.783
write,rdma,65536,4,2000,6.41,6.43,6.81,7.35,80.547
read,rdma,65536,4,2000,10.39,10.50,10.56,11.01,49.859
write,rdma,65536,16,2000,5.86,5.86,5.97,6.51,89.518
read,rdma,65536,16,2000,9.98,10.01,10.03,10.72,52.665
write,rdma,262144,1,2000,26.66,26.76,27.42,40.42,77.941
read,rdma,262144,1,2000,41.54,41.74,42.48,50.51,50.124
write,rdma,262144,4,2000,23.66,23.68,23.81,30.04,88.391
read,rdma,262144,4,2000,39.87,39.98,40.04,40.04,52.441
write,rdma,262144,16,2000,22.91,22.91,22.95,23.78,92.003
read,rdma,262144,16,2000,39.47,39.49,39.53,40.11,53.404
write,rdma,1048576,1,500,94.51,94.70,95.23,108.59,88.412
read,rdma,1048576,1,500,159.47,159.77,160.61,170.88,52.455
write,rdma,1048576,4,500,91.58,91.63,92.04,92.07,91.478
read,rdma,1048576,4,500,157.79,157.90,157.97,157.97,53.122
write,rdma,1048576,16,500,90.86,90.86,91.12,91.12,94.568
read,rdma,1048576,16,500,157.39,157.42,157.59,157.59,54.595
write,rdma,4194304,1,500,366.31,366.96,367.74,375.75,91.411
read,rdma,4194304,1,500,632.43,632.88,633.55,646.79,53.007
write,rdma,4194304,4,500,363.39,363.50,363.93,364.98,92.300
read,rdma,4194304,4,500,630.78,630.88,634.19,637.74,53.178
write,rdma,4194304,16,500,362.67,362.67,363.43,363.43,94.785
read,rdma,4194304,16,500,630.34,630.35,631.21,631.21,54.536
write,rdma,4096,1,2000,2.02,2.08,2.14,6.37,15.492
read,rdma,4096,1,2000,2.33,2.40,2.55,3.62,13.468
write,rdma,4096,4,2000,0.88,0.90,0.91,1.24,36.200
read,rdma,4096,4,2000,1.11,1.13,1.17,2.44,28.694
write,rdma,4096,16,2000,0.51,0.52,0.55,0.91,63.147
read,rdma,4096,16,2000,0.76,0.76,0.77,1.18,43.061
write,rdma,16384,1,2000,3.09,3.15,3.66,6.73,40.806
read,rdma,16384,1,2000,4.33,4.39,4.53,18.43,29.535
write,rdma,16384,4,2000,2.08,2.10,2.32,2.47,61.071
read,rdma,16384,4,2000,2.94,2.97,3.12,3.13,43.608
write,rdma,16384,16,2000,1.66,1.70,1.78,2.33,77.180
read,rdma,16384,16,2000,2.59,2.60,2.63,2.99,50.582
write,rdma,65536,1,2000,8.58,8.68,9.30,27.37,59.080
read,rdma,65536,1,2000,11.95,12.06,12.74,12.93,42.828
write,rdma,65536,4,2000,6.41,6.42,6.81,7.23,80.634
read,rdma,65536,4,2000,10.39,10.49,10.55,10.55,49.919
write,rdma,65536,16,2000,5.86,5.86,5.96,6.42,89.578
read,rdma,65536,16,2000,9.99,10.01,10.04,11.16,52.607
write,rdma,262144,1,2000,26.66,26.73,27.17,35.03,78.178
read,rdma,262144,1,2000,41.51,41.70,42.53,44.30,50.131
write,rdma,262144,4,2000,23.66,23.67,23.84,24.09,88.414
read,rdma,262144,4,2000,39.87,39.98,40.04,40.05,52.438
write,rdma,262144,16,2000,22.91,22.91,22.95,23.67,92.005
read,rdma,262144,16,2000,39.47,39.49,39.52,40.05,53.414
write,rdma,1048576,1,500,94.52,94.69,95.23,97.26,88.442
read,rdma,1048576,1,500,159.45,159.66,160.52,160.65,52.491
write,rdma,1048576,4,500,91.61,91.64,92.15,93.81,91.464
read,rdma,1048576,4,500,157.80,157.90,157.98,157.98,53.121
write,rdma,1048576,16,500,90.86,90.87,91.12,91.12,94.567
read,rdma,1048576,16,500,157.39,157.42,158.14,158.14,54.589
write,rdma,4194304,1,500,366.32,366.94,368.09,376.43,91.436
read,rdma,4194304,1,500,632.51,632.82,633.34,650.48,53.009
write,rdma,4194304,4,500,363.40,363.47,365.83,366.11,92.294
read,rdma,4194304,4,500,630.77,630.88,633.72,634.19,53.182
write,rdma,4194304,16,500,362.68,362.69,363.13,363.13,94.784
read,rdma,4194304,16,500,630.33,630.34,631.07,631.07,54.539
write,rdma,4096,1,2000,2.03,2.08,2.14,4.78,15.513
read,rdma,4096,1,2000,2.36,2.40,2.55,4.62,13.430
write,rdma,4096,4,2000,0.89,0.90,0.91,2.01,36.096
read,rdma,4096,4,2000,1.11,1.13,1.17,1.17,28.743
write,rdma,4096,16,2000,0.51,0.51,0.59,0.90,63.074
read,rdma,4096,16,2000,0.75,0.76,0.77,1.14,43.124
write,rdma,16384,1,2000,3.09,3.13,3.64,7.50,41.108
read,rdma,16384,1,2000,4.32,4.38,4.54,23.79,29.595
write,rdma,16384,4,2000,2.08,2.10,2.33,2.83,60.918
read,rdma,16384,4,2000,2.95,2.98,3.11,6.74,43.507
write,rdma,16384,16,2000,1.69,1.70,1.71,2.32,77.485
read,rdma,16384,16,2000,2.60,2.60,2.74,3.36,50.286
write,rdma,65536,1,2000,8.61,8.68,9.31,18.20,59.113
read,rdma,65536,1,2000,11.98,12.08,12.71,20.63,42.750
write,rdma,65536,4,2000,6.41,6.43,6.81,9.77,80.546
read,rdma,65536,4,2000,10.39,10.49,10.55,13.60,49.883
write,rdma,65536,16,2000,5.86,5.86,5.96,6.78,89.576
read,rdma,65536,16,2000,9.99,10.01,10.04,10.52,52.654
write,rdma,262144,1,2000,26.67,26.77,27.50,31.53,77.915
read,rdma,262144,1,2000,41.53,41.71,42.45,53.86,50.142
write,rdma,262144,4,2000,23.66,23.68,23.81,24.28,88.425
read,rdma,262144,4,2000,39.87,39.98,40.04,40.04,52.440
write,rdma,262144,16,2000,22.91,22.91,22.95,23.80,92.005
read,rdma,262144,16,2000,39.46,39.49,39.52,40.01,53.418
write,rdma,1048576,1,500,94.62,94.69,95.23,96.56,88.441
read,rdma,1048576,1,500,159.44,159.72,160.61,172.13,52.457
write,rdma,1048576,4,500,91.61,91.64,91.77,92.18,91.481
read,rdma,1048576,4,500,157.79,157.91,157.97,157.98,53.119
write,rdma,1048576,16,500,90.86,90.86,91.19,91.19,94.570
read,rdma,1048576,16,500,157.38,157.41,157.58,157.58,54.599
write,rdma,4194304,1,500,366.31,366.98,375.31,380.76,91.375
read,rdma,4194304,1,500,632.47,632.89,636.03,645.25,53.004
write,rdma,4194304,4,500,363.44,363.47,365.54,367.78,92.286
read,rdma,4194304,4,500,630.76,630.88,633.87,634.00,53.179
write,rdma,4194304,16,500,362.66,362.70,363.05,363.05,94.782
read,rdma,4194304,16,500,630.33,630.34,630.52,630.52,54.540
write,rdma,4096,1,2000,2.01,2.08,2.14,13.35,15.460
read,rdma,4096,1,2000,2.34,2.40,2.56,5.67,13.450
write,rdma,4096,4,2000,0.89,0.90,0.92,2.92,35.952
read,rdma,4096,4,2000,1.11,1.13,1.17,1.78,28.804
write,rdma,4096,16,2000,0.51,0.51,0.53,0.91,63.607
read,rdma,4096,16,2000,0.76,0.76,0.77,1.17,43.102
write,rdma,16384,1,2000,3.08,3.14,3.65,7.17,40.903
read,rdma,16384,1,2000,4.34,4.47,4.73,8.28,29.178
write,rdma,16384,4,2000,2.08,2.10,2.32,2.40,60.982
read,rdma,16384,4,2000,2.95,2.98,3.12,6.05,43.433
write,rdma,16384,16,2000,1.69,1.70,1.71,2.12,77.462
read,rdma,16384,16,2000,2.59,2.60,2.64,3.24,50.500
write,rdma,65536,1,2000,8.55,8.69,9.31,16.64,59.106
read,rdma,65536,1,2000,11.97,12.07,12.72,15.48,42.787
write,rdma,65536,4,2000,6.41,6.42,6.81,11.31,80.514
read,rdma,65536,4,2000,10.38,10.49,10.55,11.27,49.903
write,rdma,65536,16,2000,5.86,5.86,5.96,6.43,89.567
read,rdma,65536,16,2000,9.98,10.01,10.03,10.52,52.692
write,rdma,262144,1,2000,26.65,26.72,27.18,43.14,78.202
read,rdma,262144,1,2000,41.54,41.72,42.49,51.91,50.128
write,rdma,262144,4,2000,23.66,23.72,23.91,26.45,88.215
read,rdma,262144,4,2000,39.88,39.98,40.04,40.04,52.437
write,rdma,262144,16,2000,22.91,22.91,22.95,23.67,92.001
read,rdma,262144,16,2000,39.46,39.49,39.49,39.90,53.429
write,rdma,1048576,1,500,94.62,94.69,95.27,100.06,88.429
read,rdma,1048576,1,500,159.45,159.67,160.54,160.66,52.485
write,rdma,1048576,4,500,91.62,91.69,93.74,94.97,91.375
read,rdma,1048576,4,500,157.81,157.91,160.00,160.47,53.106
write,rdma,1048576,16,500,90.86,90.87,91.12,91.12,94.567
read,rdma,1048576,16,500,157.39,157.41,157.59,157.59,54.597
write,rdma,4194304,1,500,366.44,366.98,367.69,375.53,91.391
read,rdma,4194304,1,500,632.45,632.87,633.34,644.81,53.010
write,rdma,4194304,4,500,363.39,363.47,363.64,363.93,92.309
read,rdma,4194304,4,500,630.76,630.85,630.96,630.99,53.188
write,rdma,4194304,16,500,362.67,362.70,362.94,362.94,94.786
read,rdma,4194304,16,500,630.33,630.35,631.19,631.19,54.537
write,rdma,4096,1,2000,2.04,2.09,2.15,5.70,15.448
read,rdma,4096,1,2000,2.33,2.40,2.55,6.36,13.447
write,rdma,4096,4,2000,0.89,0.90,0.91,1.27,36.170
read,rdma,4096,4,2000,1.11,1.13,1.17,3.07,28.637
write,rdma,4096,16,2000,0.51,0.51,0.61,0.99,62.832
read,rdma,4096,16,2000,0.75,0.76,0.77,1.48,43.029
write,rdma,16384,1,2000,3.09,3.14,3.65,6.70,40.903
read,rdma,16384,1,2000,4.32,4.38,4.53,31.40,29.563
write,rdma,16384,4,2000,2.08,2.10,2.32,2.50,61.005
read,rdma,16384,4,2000,2.94,2.98,3.09,3.10,43.677
write,rdma,16384,16,2000,1.69,1.70,1.71,2.11,77.458
read,rdma,16384,16,2000,2.60,2.60,2.64,3.26,50.305
write,rdma,65536,1,2000,8.58,8.70,9.32,36.03,58.960
