bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps,rep
lat_rdma_write,verbs,4096,64,1000,3.458,3.527,3.618,9.251,,5
perftest_ib_send_lat,verbs,4096,64,1000,1.78,1.83,1.97,5.78,,5
perftest_ib_write_lat,verbs,4096,64,1000,1.76,1.80,1.89,8.54,,5
lat_send_recv,verbs,16384,64,1000,5.612,5.685,7.594,9.831,,1
lat_rdma_write,verbs,16384,64,1000,5.582,5.644,6.173,17.032,,1
perftest_ib_send_lat,verbs,16384,64,1000,2.85,2.90,3.33,10.06,,1
perftest_ib_write_lat,verbs,16384,64,1000,2.85,2.88,3.27,3.62,,1
lat_send_recv,verbs,16384,64,1000,5.602,5.678,7.572,10.004,,2
lat_rdma_write,verbs,16384,64,1000,5.595,5.648,6.158,21.575,,2
perftest_ib_send_lat,verbs,16384,64,1000,2.87,2.90,3.31,10.27,,2
perftest_ib_write_lat,verbs,16384,64,1000,2.84,2.87,3.31,10.07,,2
lat_send_recv,verbs,16384,64,1000,5.614,5.674,7.628,20.407,,3
lat_rdma_write,verbs,16384,64,1000,5.592,5.642,6.186,22.594,,3
perftest_ib_send_lat,verbs,16384,64,1000,2.85,2.90,3.30,9.27,,3
perftest_ib_write_lat,verbs,16384,64,1000,2.85,2.88,3.26,9.12,,3
lat_send_recv,verbs,16384,64,1000,5.615,5.691,7.614,21.428,,4
lat_rdma_write,verbs,16384,64,1000,5.587,5.647,6.158,10.658,,4
perftest_ib_send_lat,verbs,16384,64,1000,2.84,2.90,3.28,8.69,,4
perftest_ib_write_lat,verbs,16384,64,1000,2.84,2.86,3.24,10.69,,4
lat_send_recv,verbs,16384,64,1000,5.617,5.692,7.593,10.208,,5
lat_rdma_write,verbs,16384,64,1000,5.580,5.638,6.174,22.525,,5
perftest_ib_send_lat,verbs,16384,64,1000,2.85,2.90,3.28,9.32,,5
perftest_ib_write_lat,verbs,16384,64,1000,2.84,2.87,3.25,9.97,,5
lat_send_recv,verbs,65536,64,1000,16.684,16.917,19.371,31.432,,1
lat_rdma_write,verbs,65536,64,1000,16.581,16.764,17.902,32.369,,1
perftest_ib_send_lat,verbs,65536,64,1000,8.47,8.80,9.39,14.72,,1
perftest_ib_write_lat,verbs,65536,64,1000,8.41,8.64,9.41,15.32,,1
lat_send_recv,verbs,65536,64,1000,16.694,17.070,19.325,34.963,,2
lat_rdma_write,verbs,65536,64,1000,16.534,16.783,21.415,32.549,,2
perftest_ib_send_lat,verbs,65536,64,1000,8.47,8.79,9.47,15.68,,2
perftest_ib_write_lat,verbs,65536,64,1000,8.39,8.65,12.82,15.75,,2
lat_send_recv,verbs,65536,64,1000,16.702,17.075,19.416,33.523,,3
