bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps
write_ack,rdma,64,1,20000,1.09,1.16,1.18,30.59,
sendrecv,rdma,256,8,20000,2.36,2.43,3.73,35.87,
write_ack,rdma,256,1,20000,1.41,1.47,1.51,13.04,
sendrecv,rdma,1024,8,20000,2.71,2.79,4.08,38.47,
write_ack,rdma,1024,1,20000,1.57,1.64,1.69,24.31,
sendrecv,rdma,4096,8,20000,3.49,3.58,7.24,54.32,
write_ack,rdma,4096,1,20000,1.98,2.06,2.11,15.70,
sendrecv,rdma,16384,8,20000,5.61,5.72,9.43,42.24,
write_ack,rdma,16384,1,20000,3.06,3.11,3.63,24.96,
sendrecv,rdma,65536,8,5000,16.71,17.42,20.96,62.61,
write_ack,rdma,65536,1,5000,8.52,8.74,9.57,32.63,
sendrecv,rdma,262144,8,5000,52.82,52.97,58.80,69.89,
write_ack,rdma,262144,1,5000,26.65,26.89,27.46,47.84,
sendrecv,rdma,1048576,8,5000,188.66,189.24,195.57,229.17,
write_ack,rdma,1048576,1,5000,94.50,94.82,98.08,106.95,
sendrecv,tcp,64,,20000,8.51,8.80,9.53,28.25,
sendrecv,tcp,256,,20000,9.26,9.67,10.92,36.03,
sendrecv,tcp,1024,,20000,9.05,9.49,11.45,29.89,
sendrecv,tcp,4096,,20000,12.98,14.16,16.85,86.78,
sendrecv,tcp,16384,,20000,19.59,22.45,27.96,55.89,
sendrecv,tcp,65536,,5000,60.44,70.95,75.33,112.86,
sendrecv,tcp,262144,,5000,151.79,163.89,198.96,611.07,
sendrecv,tcp,1048576,,5000,432.01,450.57,482.97,1085.79,
sendrecv,tcp_untuned,64,,20000,15.11,15.66,17.37,147.35,
sendrecv,tcp_untuned,256,,20000,14.92,15.45,16.96,103.68,
sendrecv,tcp_untuned,1024,,20000,15.56,16.27,19.47,1239.46,
sendrecv,tcp_untuned,4096,,20000,17.48,32.49,49.80,550.41,
sendrecv,tcp_untuned,16384,,20000,25.44,38.82,59.78,126.29,
sendrecv,tcp_untuned,65536,,5000,60.63,85.02,124.47,189.14,
sendrecv,tcp_untuned,262144,,5000,153.23,181.34,203.22,847.69,
sendrecv,tcp_untuned,1048576,,5000,459.31,533.36,680.64,13882.98,
sendrecv,rdma,64,8,20000,1.70,1.79,3.08,25.55,
write_ack,rdma,64,1,20000,1.09,1.16,1.18,29.76,
sendrecv,rdma,256,8,20000,2.37,2.43,3.73,46.00,
write_ack,rdma,256,1,20000,1.40,1.47,1.51,27.83,
sendrecv,rdma,1024,8,20000,2.71,2.80,4.08,34.45,
write_ack,rdma,1024,1,20000,1.59,1.64,1.68,25.59,
sendrecv,rdma,4096,8,20000,3.47,3.58,7.24,62.71,
write_ack,rdma,4096,1,20000,1.98,2.05,2.11,26.30,
sendrecv,rdma,16384,8,20000,5.63,5.72,9.44,41.48,
write_ack,rdma,16384,1,20000,3.06,3.16,3.75,19.73,
sendrecv,rdma,65536,8,5000,16.73,16.97,21.72,53.55,
write_ack,rdma,65536,1,5000,8.54,8.66,9.29,32.16,
sendrecv,rdma,262144,8,5000,52.82,52.99,57.78,75.66,
write_ack,rdma,262144,1,5000,26.64,26.73,27.19,39.84,
sendrecv,rdma,1048576,8,5000,188.77,189.30,196.96,206.82,
write_ack,rdma,1048576,1,5000,94.48,94.83,100.55,108.51,
sendrecv,tcp,64,,20000,9.20,9.48,10.08,21.41,
sendrecv,tcp,256,,20000,8.70,9.01,11.58,22.01,
sendrecv,tcp,1024,,20000,9.06,9.51,11.32,17.40,
sendrecv,tcp,4096,,20000,13.23,14.29,17.04,35.23,
sendrecv,tcp,16384,,20000,21.01,22.40,24.33,41.57,
sendrecv,tcp,65536,,5000,58.98,70.37,78.22,146.10,
sendrecv,tcp,262144,,5000,134.20,140.68,182.74,217.28,
sendrecv,tcp,1048576,,5000,524.52,574.63,669.80,2795.67,
sendrecv,tcp_untuned,64,,20000,14.73,16.18,18.38,120.23,
sendrecv,tcp_untuned,256,,20000,15.71,16.42,19.98,776.04,
sendrecv,tcp_untuned,1024,,20000,15.90,16.80,19.81,2456.23,
sendrecv,tcp_untuned,4096,,20000,17.19,32.00,48.75,135.02,
sendrecv,tcp_untuned,16384,,20000,25.30,28.41,64.61,3924.13,
sendrecv,tcp_untuned,65536,,5000,66.58,79.80,94.86,128.03,
sendrecv,tcp_untuned,262144,,5000,142.48,181.17,239.53,423.10,
sendrecv,tcp_untuned,1048576,,5000,429.78,530.73,726.22,2409.14,
sendrecv,rdma,64,8,20000,1.70,1.79,3.09,18.03,
write_ack,rdma,64,1,20000,1.10,1.16,1.18,33.77,
sendrecv,rdma,256,8,20000,2.35,2.44,3.72,35.98,
write_ack,rdma,256,1,20000,1.41,1.47,1.51,13.67,
sendrecv,rdma,1024,8,20000,2.71,2.80,4.11,34.45,
write_ack,rdma,1024,1,20000,1.60,1.65,1.69,25.71,
sendrecv,rdma,4096,8,20000,3.50,3.60,7.27,33.38,
write_ack,rdma,4096,1,20000,1.97,2.06,2.11,23.78,
sendrecv,rdma,16384,8,20000,5.63,5.72,9.43,59.08,
write_ack,rdma,16384,1,20000,3.06,3.11,3.63,32.01,
sendrecv,rdma,65536,8,5000,16.66,17.40,22.12,40.05,
write_ack,rdma,65536,1,5000,8.51,8.65,9.48,24.72,
sendrecv,rdma,262144,8,5000,52.78,52.97,58.19,79.09,
write_ack,rdma,262144,1,5000,26.64,26.72,27.19,39.59,
sendrecv,rdma,1048576,8,5000,188.69,189.25,197.02,208.88,
write_ack,rdma,1048576,1,5000,94.49,94.80,95.68,108.16,
sendrecv,tcp,64,,20000,9.15,9.59,10.63,34.34,
sendrecv,tcp,256,,20000,8.62,8.97,11.61,23.84,
sendrecv,tcp,1024,,20000,9.19,9.66,11.21,27.83,
sendrecv,tcp,4096,,20000,14.01,15.99,19.00,55.55,
sendrecv,tcp,16384,,20000,20.94,23.49,27.57,41.38,
sendrecv,tcp,65536,,5000,57.05,59.10,70.77,118.73,
sendrecv,tcp,262144,,5000,151.95,160.35,170.81,282.48,
sendrecv,tcp,1048576,,5000,624.81,646.59,666.94,803.30,
sendrecv,tcp_untuned,64,,20000,14.56,16.32,17.10,49.62,
sendrecv,tcp_untuned,256,,20000,15.89,16.56,19.30,576.57,
sendrecv,tcp_untuned,1024,,20000,15.85,16.60,17.72,60.77,
sendrecv,tcp_untuned,4096,,20000,20.99,22.88,34.81,86.93,
sendrecv,tcp_untuned,16384,,20000,25.27,27.75,62.82,131.52,
sendrecv,tcp_untuned,65536,,5000,61.92,88.52,119.51,208.65,
sendrecv,tcp_untuned,262144,,5000,141.86,176.79,198.14,340.84,
sendrecv,tcp_untuned,1048576,,5000,595.64,675.32,798.61,2419.91,
