bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps
sendrecv,tcp_untuned,1024,,20000,14.97,15.75,19.09,348.00,
sendrecv,tcp_untuned,4096,,20000,18.18,43.29,50.52,702.90,
sendrecv,tcp_untuned,16384,,20000,26.05,27.71,32.00,109.86,
sendrecv,tcp_untuned,65536,,5000,69.56,73.95,104.31,180.78,
sendrecv,tcp_untuned,262144,,5000,189.36,200.03,251.72,326.99,
sendrecv,tcp_untuned,1048576,,5000,592.10,664.19,769.53,2844.89,
sendrecv,rdma,64,8,20000,1.70,1.78,3.08,19.64,
write_ack,rdma,64,1,20000,1.09,1.16,1.19,30.12,
sendrecv,rdma,256,8,20000,2.35,2.44,3.73,44.21,
write_ack,rdma,256,1,20000,1.42,1.48,1.51,32.71,
sendrecv,rdma,1024,8,20000,2.71,2.80,4.08,33.98,
write_ack,rdma,1024,1,20000,1.59,1.65,1.69,14.24,
sendrecv,rdma,4096,8,20000,3.48,3.58,7.24,29.14,
write_ack,rdma,4096,1,20000,1.99,2.07,2.12,20.02,
sendrecv,rdma,16384,8,20000,5.63,5.72,9.42,39.70,
write_ack,rdma,16384,1,20000,3.07,3.11,3.63,24.91,
sendrecv,rdma,65536,8,5000,16.72,16.94,23.86,35.94,
write_ack,rdma,65536,1,5000,8.51,8.66,9.29,31.83,
sendrecv,rdma,262144,8,5000,52.80,52.97,60.67,101.30,
write_ack,rdma,262144,1,5000,26.71,26.88,27.52,39.87,
sendrecv,rdma,1048576,8,5000,188.72,189.24,194.84,206.26,
write_ack,rdma,1048576,1,5000,94.50,94.88,101.54,107.74,
sendrecv,tcp,64,,20000,8.71,9.01,9.86,62.95,
sendrecv,tcp,256,,20000,8.68,9.08,11.57,27.41,
sendrecv,tcp,1024,,20000,9.57,10.03,10.54,25.41,
sendrecv,tcp,4096,,20000,12.62,14.34,16.84,33.90,
sendrecv,tcp,16384,,20000,19.43,21.55,25.76,45.80,
sendrecv,tcp,65536,,5000,57.39,66.88,73.90,125.49,
sendrecv,tcp,262144,,5000,134.59,140.90,181.83,226.55,
sendrecv,tcp,1048576,,5000,532.52,577.13,706.73,834.49,
sendrecv,tcp_untuned,64,,20000,14.38,15.16,17.12,141.47,
sendrecv,tcp_untuned,256,,20000,14.85,16.14,18.62,1874.93,
sendrecv,tcp_untuned,1024,,20000,15.22,15.79,18.26,110.64,
sendrecv,tcp_untuned,4096,,20000,28.40,46.23,48.61,146.79,
sendrecv,tcp_untuned,16384,,20000,24.99,26.99,59.67,85.11,
sendrecv,tcp_untuned,65536,,5000,65.00,93.90,128.64,201.05,
sendrecv,tcp_untuned,262144,,5000,170.00,189.76,209.77,332.52,
sendrecv,tcp_untuned,1048576,,5000,572.25,670.24,721.64,862.96,
sendrecv,rdma,64,8,20000,1.71,1.78,3.08,27.90,
write_ack,rdma,64,1,20000,1.09,1.16,1.19,12.44,
sendrecv,rdma,256,8,20000,2.35,2.43,3.72,31.59,
write_ack,rdma,256,1,20000,1.41,1.47,1.51,33.14,
sendrecv,rdma,1024,8,20000,2.72,2.79,4.09,39.72,
write_ack,rdma,1024,1,20000,1.58,1.63,1.68,24.44,
sendrecv,rdma,4096,8,20000,3.48,3.58,7.25,36.31,
write_ack,rdma,4096,1,20000,1.98,2.08,2.31,35.69,
sendrecv,rdma,16384,8,20000,5.63,5.72,9.44,38.55,
write_ack,rdma,16384,1,20000,3.06,3.11,3.63,28.77,
sendrecv,rdma,65536,8,5000,16.66,17.41,20.95,58.76,
write_ack,rdma,65536,1,5000,8.52,8.65,9.28,30.74,
sendrecv,rdma,262144,8,5000,52.82,52.98,56.97,87.54,
write_ack,rdma,262144,1,5000,26.66,26.73,27.24,39.84,
sendrecv,rdma,1048576,8,5000,188.76,189.26,195.35,206.60,
write_ack,rdma,1048576,1,5000,94.51,94.97,99.86,110.37,
sendrecv,tcp,64,,20000,9.53,10.04,10.71,41.01,
sendrecv,tcp,256,,20000,8.67,9.02,11.53,32.97,
sendrecv,tcp,1024,,20000,10.07,10.56,11.26,29.24,
sendrecv,tcp,4096,,20000,13.15,14.32,15.97,31.27,
sendrecv,tcp,16384,,20000,21.17,22.39,23.99,40.62,
sendrecv,tcp,65536,,5000,58.65,68.62,73.96,122.23,
sendrecv,tcp,262144,,5000,151.47,162.36,185.77,305.63,
sendrecv,tcp,1048576,,5000,429.08,446.38,520.47,1268.94,
sendrecv,tcp_untuned,64,,20000,15.22,15.86,18.12,42.77,
sendrecv,tcp_untuned,256,,20000,14.07,14.79,17.51,43.09,
sendrecv,tcp_untuned,1024,,20000,14.61,15.12,18.84,115.25,
sendrecv,tcp_untuned,4096,,20000,18.02,19.19,48.28,569.43,
sendrecv,tcp_untuned,16384,,20000,25.36,29.20,60.25,1577.07,
sendrecv,tcp_untuned,65536,,5000,61.29,83.94,140.33,655.53,
sendrecv,tcp_untuned,262144,,5000,142.77,178.47,226.79,524.73,
sendrecv,tcp_untuned,1048576,,5000,612.53,759.19,893.24,1228.30,
sendrecv,rdma,64,8,20000,1.70,1.78,3.08,27.02,
write_ack,rdma,64,1,20000,1.10,1.16,1.20,21.77,
sendrecv,rdma,256,8,20000,2.34,2.43,3.72,32.75,
write_ack,rdma,256,1,20000,1.41,1.48,1.52,13.98,
sendrecv,rdma,1024,8,20000,2.71,2.80,4.08,31.90,
write_ack,rdma,1024,1,20000,1.60,1.65,1.69,22.03,
sendrecv,rdma,4096,8,20000,3.48,3.58,7.25,32.59,
write_ack,rdma,4096,1,20000,1.97,2.06,2.11,20.99,
sendrecv,rdma,16384,8,20000,5.63,5.72,9.44,28.10,
write_ack,rdma,16384,1,20000,3.06,3.12,3.72,25.88,
sendrecv,rdma,65536,8,5000,16.72,17.41,23.65,55.27,
write_ack,rdma,65536,1,5000,8.57,8.83,9.65,18.87,
sendrecv,rdma,262144,8,5000,52.76,52.98,56.66,69.02,
write_ack,rdma,262144,1,5000,26.64,26.73,27.40,41.64,
sendrecv,rdma,1048576,8,5000,188.70,189.25,194.22,206.52,
write_ack,rdma,1048576,1,5000,94.48,94.87,95.72,108.79,
sendrecv,tcp,64,,20000,9.33,9.62,10.26,71.63,
sendrecv,tcp,256,,20000,9.42,10.28,12.74,69.48,
sendrecv,tcp,1024,,20000,9.25,9.80,11.10,25.00,
sendrecv,tcp,4096,,20000,14.66,15.94,17.28,33.51,
sendrecv,tcp,16384,,20000,20.81,22.88,25.80,43.24,
sendrecv,tcp,65536,,5000,59.41,67.72,71.43,116.29,
sendrecv,tcp,262144,,5000,135.79,143.29,161.59,232.32,
sendrecv,tcp,1048576,,5000,747.02,778.26,802.75,930.41,
sendrecv,tcp_untuned,64,,20000,14.46,15.32,16.85,101.89,
sendrecv,tcp_untuned,256,,20000,14.04,14.65,15.68,39.91,
sendrecv,tcp_untuned,1024,,20000,14.56,15.27,18.14,82.83,
sendrecv,tcp_untuned,4096,,20000,26.21,38.80,41.93,107.97,
sendrecv,tcp_untuned,16384,,20000,25.65,29.53,61.45,271.53,
sendrecv,tcp_untuned,65536,,5000,61.08,76.63,127.98,200.97,
sendrecv,tcp_untuned,262144,,5000,161.24,195.95,268.89,324.70,
sendrecv,tcp_untuned,1048576,,5000,450.40,534.46,698.54,1081.00,
sendrecv,rdma,64,8,20000,1.71,1.78,3.09,25.83,
write_ack,rdma,64,1,20000,1.09,1.16,1.18,27.00,
